model_id,task_name,ndcg_at_10
inf-retriever-v1,MIRACLRetrievalHardNegatives,0.6093377777777778
inf-retriever-v1,MLQARetrieval,0.8030828571428571
inf-retriever-v1,SCIDOCS,0.30776
inf-retriever-v1,SpartQA,0.07768
inf-retriever-v1,StackOverflowQA,0.94219
inf-retriever-v1,StatcanDialogueDatasetRetrieval,0.24252
inf-retriever-v1,TRECCOVID,0.75097
inf-retriever-v1,TempReasonL1,0.01689
inf-retriever-v1,TwitterHjerneRetrieval,0.79299
inf-retriever-v1,WikipediaRetrievalMultilingual,0.92015375
inf-retriever-v1,WinoGrande,0.75611
F2LLM-v2-14B,AILAStatutes,0.48501
F2LLM-v2-14B,ArguAna,0.64975
F2LLM-v2-14B,BelebeleRetrieval,0.8467527659574468
F2LLM-v2-14B,CovidRetrieval,0.79063
F2LLM-v2-14B,HagridRetrieval,0.98822
F2LLM-v2-14B,LEMBPasskeyRetrieval,0.85
F2LLM-v2-14B,LegalBenchCorporateLobbying,0.95759
F2LLM-v2-14B,MIRACLRetrievalHardNegatives,0.648675
F2LLM-v2-14B,MLQARetrieval,0.7896059183673471
F2LLM-v2-14B,SCIDOCS,0.28418
F2LLM-v2-14B,SpartQA,0.15449
F2LLM-v2-14B,StackOverflowQA,0.97488
F2LLM-v2-14B,StatcanDialogueDatasetRetrieval,0.250015
F2LLM-v2-14B,TRECCOVID,0.58916
F2LLM-v2-14B,TempReasonL1,0.02257
F2LLM-v2-14B,TwitterHjerneRetrieval,0.87194
F2LLM-v2-14B,WikipediaRetrievalMultilingual,0.917429375
F2LLM-v2-14B,WinoGrande,0.76073
Seed1.6-embed,AILAStatutes,0.26699
Seed1.6-embed,ArguAna,0.80638
Seed1.6-embed,BelebeleRetrieval,0.7900444414893617
Seed1.6-embed,CovidRetrieval,0.85765
Seed1.6-embed,HagridRetrieval,0.98896
Seed1.6-embed,LEMBPasskeyRetrieval,0.9972325
Seed1.6-embed,LegalBenchCorporateLobbying,0.9569
Seed1.6-embed,MIRACLRetrievalHardNegatives,0.5923827777777777
Seed1.6-embed,MLQARetrieval,0.8247273469387756
Seed1.6-embed,SCIDOCS,0.25827
Seed1.6-embed,SpartQA,0.20477
Seed1.6-embed,StackOverflowQA,0.972
Seed1.6-embed,StatcanDialogueDatasetRetrieval,0.2563375
Seed1.6-embed,TRECCOVID,0.61935
Seed1.6-embed,TempReasonL1,0.02758
Seed1.6-embed,TwitterHjerneRetrieval,0.65162
Seed1.6-embed,WikipediaRetrievalMultilingual,0.91809875
Seed1.6-embed,WinoGrande,0.76763
F2LLM-v2-8B,AILAStatutes,0.44979
F2LLM-v2-8B,ArguAna,0.63
F2LLM-v2-8B,BelebeleRetrieval,0.8357542819148935
F2LLM-v2-8B,CovidRetrieval,0.79544
F2LLM-v2-8B,HagridRetrieval,0.98896
F2LLM-v2-8B,LEMBPasskeyRetrieval,0.8490774999999999
F2LLM-v2-8B,LegalBenchCorporateLobbying,0.9478
F2LLM-v2-8B,MIRACLRetrievalHardNegatives,0.649336111111111
F2LLM-v2-8B,MLQARetrieval,0.7810036734693877
F2LLM-v2-8B,SCIDOCS,0.2797
F2LLM-v2-8B,SpartQA,0.15228
F2LLM-v2-8B,StackOverflowQA,0.97049
F2LLM-v2-8B,StatcanDialogueDatasetRetrieval,0.3138375
F2LLM-v2-8B,TRECCOVID,0.58647
F2LLM-v2-8B,TempReasonL1,0.01722
F2LLM-v2-8B,TwitterHjerneRetrieval,0.84405
F2LLM-v2-8B,WikipediaRetrievalMultilingual,0.91080125
F2LLM-v2-8B,WinoGrande,0.73255
pplx-embed-0.6b,AILAStatutes,0.59838
pplx-embed-0.6b,ArguAna,0.65935
pplx-embed-0.6b,BelebeleRetrieval,0.7285500797872342
pplx-embed-0.6b,CovidRetrieval,0.77374
pplx-embed-0.6b,HagridRetrieval,0.98769
pplx-embed-0.6b,LEMBPasskeyRetrieval,0.8054825
pplx-embed-0.6b,LegalBenchCorporateLobbying,0.94363
pplx-embed-0.6b,MIRACLRetrievalHardNegatives,0.6856183333333333
pplx-embed-0.6b,MLQARetrieval,0.7898453061224491
pplx-embed-0.6b,SCIDOCS,0.22829
pplx-embed-0.6b,SpartQA,0.09172
pplx-embed-0.6b,StackOverflowQA,0.90652
pplx-embed-0.6b,StatcanDialogueDatasetRetrieval,0.2628925
pplx-embed-0.6b,TRECCOVID,0.85901
pplx-embed-0.6b,TempReasonL1,0.01432
pplx-embed-0.6b,TwitterHjerneRetrieval,0.70042
pplx-embed-0.6b,WikipediaRetrievalMultilingual,0.9097831249999999
pplx-embed-0.6b,WinoGrande,0.71851
granite-311m,AILAStatutes,0.2985
granite-311m,ArguAna,0.57113
granite-311m,BelebeleRetrieval,0.6649527925531915
granite-311m,CovidRetrieval,0.73547
granite-311m,HagridRetrieval,0.98769
granite-311m,LEMBPasskeyRetrieval,0.9790425
granite-311m,LegalBenchCorporateLobbying,0.92503
granite-311m,MIRACLRetrievalHardNegatives,0.5981088888888889
granite-311m,MLQARetrieval,0.6713002040816326
granite-311m,SCIDOCS,0.21859
granite-311m,SpartQA,0.6463
granite-311m,StackOverflowQA,0.86318
granite-311m,StatcanDialogueDatasetRetrieval,0.38572249999999997
granite-311m,TRECCOVID,0.68435
granite-311m,TempReasonL1,0.1125
granite-311m,TwitterHjerneRetrieval,0.6827
granite-311m,WikipediaRetrievalMultilingual,0.867591875
granite-311m,WinoGrande,0.66613
jina-v5-small,AILAStatutes,0.533
jina-v5-small,ArguAna,0.65071
jina-v5-small,BelebeleRetrieval,0.7751298670212765
jina-v5-small,CovidRetrieval,0.80104
jina-v5-small,HagridRetrieval,0.98769
jina-v5-small,LEMBPasskeyRetrieval,0.82335625
jina-v5-small,LegalBenchCorporateLobbying,0.93997
jina-v5-small,MIRACLRetrievalHardNegatives,0.6658633333333333
jina-v5-small,MLQARetrieval,0.7758764285714285
jina-v5-small,SCIDOCS,0.2304
jina-v5-small,SpartQA,0.11454
jina-v5-small,StackOverflowQA,0.93394
jina-v5-small,StatcanDialogueDatasetRetrieval,0.30408
jina-v5-small,TRECCOVID,0.78486
jina-v5-small,TempReasonL1,0.00928
jina-v5-small,TwitterHjerneRetrieval,0.71545
jina-v5-small,WikipediaRetrievalMultilingual,0.905845625
jina-v5-small,WinoGrande,0.58647
Qwen3-0.6B,AILAStatutes,0.79018
Qwen3-0.6B,ArguAna,0.70965
Qwen3-0.6B,BelebeleRetrieval,0.6873828457446809
Qwen3-0.6B,CovidRetrieval,0.84761
Qwen3-0.6B,HagridRetrieval,0.98758
Qwen3-0.6B,LEMBPasskeyRetrieval,0.8490774999999999
Qwen3-0.6B,LegalBenchCorporateLobbying,0.94517
Qwen3-0.6B,MIRACLRetrievalHardNegatives,0.612265
Qwen3-0.6B,MLQARetrieval,0.7278776530612246
Qwen3-0.6B,SCIDOCS,0.24407
Qwen3-0.6B,SpartQA,0.10585
Qwen3-0.6B,StackOverflowQA,0.89994
Qwen3-0.6B,StatcanDialogueDatasetRetrieval,0.220375
Qwen3-0.6B,TRECCOVID,0.90518
Qwen3-0.6B,TempReasonL1,0.01022
Qwen3-0.6B,TwitterHjerneRetrieval,0.6004
Qwen3-0.6B,WikipediaRetrievalMultilingual,0.87133875
Qwen3-0.6B,WinoGrande,0.50792
F2LLM-v2-4B,AILAStatutes,0.40461
F2LLM-v2-4B,ArguAna,0.62393
F2LLM-v2-4B,BelebeleRetrieval,0.8108053989361703
F2LLM-v2-4B,CovidRetrieval,0.78907
F2LLM-v2-4B,HagridRetrieval,0.98822
F2LLM-v2-4B,LEMBPasskeyRetrieval,0.848155
F2LLM-v2-4B,LegalBenchCorporateLobbying,0.94481
F2LLM-v2-4B,MIRACLRetrievalHardNegatives,0.6380494444444446
F2LLM-v2-4B,MLQARetrieval,0.772
F2LLM-v2-4B,SCIDOCS,0.26771
F2LLM-v2-4B,SpartQA,0.1276
F2LLM-v2-4B,StackOverflowQA,0.96748
F2LLM-v2-4B,StatcanDialogueDatasetRetrieval,0.314415
F2LLM-v2-4B,TRECCOVID,0.57698
F2LLM-v2-4B,TempReasonL1,0.0146
F2LLM-v2-4B,TwitterHjerneRetrieval,0.8171
F2LLM-v2-4B,WikipediaRetrievalMultilingual,0.907996875
F2LLM-v2-4B,WinoGrande,0.68819
voyage-3.5,AILAStatutes,0.47821
voyage-3.5,ArguAna,0.50827
voyage-3.5,BelebeleRetrieval,0.7557094680851063
voyage-3.5,CovidRetrieval,0.80456
voyage-3.5,HagridRetrieval,0.9897
voyage-3.5,LEMBPasskeyRetrieval,0.98037125
voyage-3.5,LegalBenchCorporateLobbying,0.95318
voyage-3.5,MIRACLRetrievalHardNegatives,0.5924761111111111
voyage-3.5,MLQARetrieval,0.7578317346938775
voyage-3.5,SCIDOCS,0.21344
voyage-3.5,SpartQA,0.06551
voyage-3.5,StackOverflowQA,0.94657
voyage-3.5,StatcanDialogueDatasetRetrieval,0.2752575
voyage-3.5,TRECCOVID,0.80949
voyage-3.5,TempReasonL1,0.01555
voyage-3.5,TwitterHjerneRetrieval,0.85327
voyage-3.5,WikipediaRetrievalMultilingual,0.9224962499999999
voyage-3.5,WinoGrande,0.46044
jina-v5-nano,AILAStatutes,0.51516
jina-v5-nano,ArguAna,0.65699
jina-v5-nano,BelebeleRetrieval,0.753111170212766
jina-v5-nano,CovidRetrieval,0.7803
jina-v5-nano,HagridRetrieval,0.98781
jina-v5-nano,LEMBPasskeyRetrieval,0.82919875
jina-v5-nano,LegalBenchCorporateLobbying,0.94524
jina-v5-nano,MIRACLRetrievalHardNegatives,0.6580394444444445
jina-v5-nano,MLQARetrieval,0.7703260204081633
jina-v5-nano,SCIDOCS,0.22604
jina-v5-nano,SpartQA,0.06277
jina-v5-nano,StackOverflowQA,0.92337
jina-v5-nano,StatcanDialogueDatasetRetrieval,0.23238999999999999
jina-v5-nano,TRECCOVID,0.77601
jina-v5-nano,TempReasonL1,0.01238
jina-v5-nano,TwitterHjerneRetrieval,0.74015
jina-v5-nano,WikipediaRetrievalMultilingual,0.899545625
jina-v5-nano,WinoGrande,0.53405
zembed-1,AILAStatutes,0.37851
zembed-1,ArguAna,0.49516
zembed-1,BelebeleRetrieval,0.7774963829787234
zembed-1,CovidRetrieval,0.80302
zembed-1,HagridRetrieval,0.99025
zembed-1,LEMBPasskeyRetrieval,0.948155
zembed-1,LegalBenchCorporateLobbying,0.95008
zembed-1,MIRACLRetrievalHardNegatives,0.5966838888888889
zembed-1,MLQARetrieval,0.7748037755102041
zembed-1,SCIDOCS,0.2222
zembed-1,SpartQA,0.03885
zembed-1,StackOverflowQA,0.92573
zembed-1,StatcanDialogueDatasetRetrieval,0.307
zembed-1,TRECCOVID,0.78394
zembed-1,TempReasonL1,0.01637
zembed-1,TwitterHjerneRetrieval,0.77563
zembed-1,WikipediaRetrievalMultilingual,0.9065006250000001
zembed-1,WinoGrande,0.54413
embeddinggemma-300m,AILAStatutes,0.37374
embeddinggemma-300m,ArguAna,0.71535
embeddinggemma-300m,BelebeleRetrieval,0.7238063829787235
embeddinggemma-300m,CovidRetrieval,0.78934
embeddinggemma-300m,HagridRetrieval,0.98919
embeddinggemma-300m,LEMBPasskeyRetrieval,0.6202
embeddinggemma-300m,LegalBenchCorporateLobbying,0.95076
embeddinggemma-300m,MIRACLRetrievalHardNegatives,0.6619755555555555
embeddinggemma-300m,MLQARetrieval,0.7894633673469389
embeddinggemma-300m,SCIDOCS,0.18429
embeddinggemma-300m,SpartQA,0.10676
embeddinggemma-300m,StackOverflowQA,0.86473
embeddinggemma-300m,StatcanDialogueDatasetRetrieval,0.29752249999999997
embeddinggemma-300m,TRECCOVID,0.8035
embeddinggemma-300m,TempReasonL1,0.00998
embeddinggemma-300m,TwitterHjerneRetrieval,0.7204
embeddinggemma-300m,WikipediaRetrievalMultilingual,0.899950625
embeddinggemma-300m,WinoGrande,0.59402
BOOM-4B,AILAStatutes,0.3917
BOOM-4B,ArguAna,0.57925
BOOM-4B,BelebeleRetrieval,0.7727886436170213
BOOM-4B,CovidRetrieval,0.80065
BOOM-4B,HagridRetrieval,0.9893
BOOM-4B,LEMBPasskeyRetrieval,0.85
BOOM-4B,LegalBenchCorporateLobbying,0.94483
BOOM-4B,MIRACLRetrievalHardNegatives,0.6559322222222222
BOOM-4B,MLQARetrieval,0.7725994897959184
BOOM-4B,SCIDOCS,0.1106
BOOM-4B,SpartQA,0.07167
BOOM-4B,StackOverflowQA,0.93418
BOOM-4B,StatcanDialogueDatasetRetrieval,0.31564250000000005
BOOM-4B,TRECCOVID,0.8306
BOOM-4B,TempReasonL1,0.01005
BOOM-4B,TwitterHjerneRetrieval,0.75323
BOOM-4B,WikipediaRetrievalMultilingual,0.90985625
BOOM-4B,WinoGrande,0.32651
BidirLM-2.5B,AILAStatutes,0.40505
BidirLM-2.5B,ArguAna,0.57044
BidirLM-2.5B,BelebeleRetrieval,0.7515075
BidirLM-2.5B,CovidRetrieval,0.8128
BidirLM-2.5B,HagridRetrieval,0.98832
BidirLM-2.5B,LEMBPasskeyRetrieval,0.48825125
BidirLM-2.5B,LegalBenchCorporateLobbying,0.95157
BidirLM-2.5B,MIRACLRetrievalHardNegatives,0.6376527777777778
BidirLM-2.5B,MLQARetrieval,0.7480387755102039
BidirLM-2.5B,SCIDOCS,0.23317
BidirLM-2.5B,SpartQA,0.04661
BidirLM-2.5B,StackOverflowQA,0.9411
BidirLM-2.5B,StatcanDialogueDatasetRetrieval,0.2576775
BidirLM-2.5B,TRECCOVID,0.80887
BidirLM-2.5B,TempReasonL1,0.0165
BidirLM-2.5B,TwitterHjerneRetrieval,0.75634
BidirLM-2.5B,WikipediaRetrievalMultilingual,0.8749675
BidirLM-2.5B,WinoGrande,0.57984
GritLM-7B,AILAStatutes,0.418
GritLM-7B,ArguAna,0.63171
GritLM-7B,BelebeleRetrieval,0.7170350531914894
GritLM-7B,CovidRetrieval,0.73401
GritLM-7B,HagridRetrieval,0.98673
GritLM-7B,LEMBPasskeyRetrieval,0.39383500000000005
GritLM-7B,LegalBenchCorporateLobbying,0.94999
GritLM-7B,MIRACLRetrievalHardNegatives,0.5167933333333333
GritLM-7B,MLQARetrieval,0.7274202040816325
GritLM-7B,SCIDOCS,0.24409
GritLM-7B,SpartQA,0.09355
GritLM-7B,StackOverflowQA,0.93367
GritLM-7B,StatcanDialogueDatasetRetrieval,0.2916175
GritLM-7B,TRECCOVID,0.74313
GritLM-7B,TempReasonL1,0.07164
GritLM-7B,TwitterHjerneRetrieval,0.43266
GritLM-7B,WikipediaRetrievalMultilingual,0.917721875
GritLM-7B,WinoGrande,0.53697
BidirLM-1B,AILAStatutes,0.33018
BidirLM-1B,ArguAna,0.5411
BidirLM-1B,BelebeleRetrieval,0.7657920744680852
BidirLM-1B,CovidRetrieval,0.79761
BidirLM-1B,HagridRetrieval,0.98707
BidirLM-1B,LEMBPasskeyRetrieval,0.39585
BidirLM-1B,LegalBenchCorporateLobbying,0.92491
BidirLM-1B,MIRACLRetrievalHardNegatives,0.6557538888888889
BidirLM-1B,MLQARetrieval,0.7271541836734693
BidirLM-1B,SCIDOCS,0.20834
BidirLM-1B,SpartQA,0.01657
BidirLM-1B,StackOverflowQA,0.88935
BidirLM-1B,StatcanDialogueDatasetRetrieval,0.19825
BidirLM-1B,TRECCOVID,0.82931
BidirLM-1B,TempReasonL1,0.00248
BidirLM-1B,TwitterHjerneRetrieval,0.68839
BidirLM-1B,WikipediaRetrievalMultilingual,0.8592206250000001
BidirLM-1B,WinoGrande,0.26175
bge-m3,AILAStatutes,0.29042
bge-m3,ArguAna,0.54038
bge-m3,BelebeleRetrieval,0.7815855053191489
bge-m3,CovidRetrieval,0.77512
bge-m3,HagridRetrieval,0.98769
bge-m3,LEMBPasskeyRetrieval,0.62832875
bge-m3,LegalBenchCorporateLobbying,0.90342
bge-m3,MIRACLRetrievalHardNegatives,0.695911111111111
bge-m3,MLQARetrieval,0.748058163265306
bge-m3,SCIDOCS,0.16308
bge-m3,SpartQA,0.07492
bge-m3,StackOverflowQA,0.80597
bge-m3,StatcanDialogueDatasetRetrieval,0.1344375
bge-m3,TRECCOVID,0.54722
bge-m3,TempReasonL1,0.00989
bge-m3,TwitterHjerneRetrieval,0.37823
bge-m3,WikipediaRetrievalMultilingual,0.8987475
bge-m3,WinoGrande,0.41723
ml-e5-small,AILAStatutes,0.19011
ml-e5-small,ArguAna,0.39088
ml-e5-small,BelebeleRetrieval,0.6629275797872339
ml-e5-small,CovidRetrieval,0.72821
ml-e5-small,HagridRetrieval,0.98545
ml-e5-small,LEMBPasskeyRetrieval,0.39868250000000005
ml-e5-small,LegalBenchCorporateLobbying,0.89474
ml-e5-small,MIRACLRetrievalHardNegatives,0.600925
ml-e5-small,MLQARetrieval,0.6384725510204081
ml-e5-small,SCIDOCS,0.13896
ml-e5-small,SpartQA,0.05431
ml-e5-small,StackOverflowQA,0.81942
ml-e5-small,StatcanDialogueDatasetRetrieval,0.06576749999999999
ml-e5-small,TRECCOVID,0.72287
ml-e5-small,TempReasonL1,0.00795
ml-e5-small,TwitterHjerneRetrieval,0.58176
ml-e5-small,WikipediaRetrievalMultilingual,0.88662
ml-e5-small,WinoGrande,0.37464
granite-97m-r2,AILAStatutes,0.28953
granite-97m-r2,ArguAna,0.53087
granite-97m-r2,BelebeleRetrieval,0.5285722074468086
granite-97m-r2,CovidRetrieval,0.701
granite-97m-r2,HagridRetrieval,0.98694
granite-97m-r2,LEMBPasskeyRetrieval,0.8767462500000001
granite-97m-r2,LegalBenchCorporateLobbying,0.91362
granite-97m-r2,MIRACLRetrievalHardNegatives,0.5608683333333334
granite-97m-r2,MLQARetrieval,0.6053759183673469
granite-97m-r2,SCIDOCS,0.20355
granite-97m-r2,SpartQA,0.67343
granite-97m-r2,StackOverflowQA,0.81991
granite-97m-r2,StatcanDialogueDatasetRetrieval,0.3439025
granite-97m-r2,TRECCOVID,0.66266
granite-97m-r2,TempReasonL1,0.05145
granite-97m-r2,TwitterHjerneRetrieval,0.56708
granite-97m-r2,WikipediaRetrievalMultilingual,0.832406875
granite-97m-r2,WinoGrande,0.5661
