model_id,short_name,params_numeric,dim,tier,english_only,dataset,ndcg_at_10,recall_at_10,mrr
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,False,hi_law,58.767119270679046,73.11320754716981,54.23901242887092
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,False,hi_law,52.98469247770866,68.86792452830188,48.02822701407607
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,True,hi_law,17.11098707400741,27.358490566037734,14.025531596286312
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,1024,medium,False,hi_law,46.81741140116832,64.38679245283019,41.374569481880805
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,False,hi_law,56.67150296604362,70.75471698113208,52.235231356693625
BAAI/bge-m3,bge-m3,568000000,1024,medium,False,hi_law,61.05929531614771,76.88679245283019,56.07826070679843
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,1024,medium,False,hi_law,44.77018643321836,63.20754716981132,39.14869721473495
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,False,hi_law,58.09236726814069,73.11320754716981,53.44611036238395
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,False,hi_law,59.56633127801732,76.17924528301887,54.36844863731657
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,False,hi_law,61.727142507596376,78.5377358490566,56.42941374663073
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,False,hi_law,44.7543994932605,58.490566037735846,40.43547843665768
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,False,hi_law,13.073392042277412,20.99056603773585,10.629773135669362
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,False,hi_law,41.91758302128846,58.01886792452831,36.97214734950584
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,False,hi_law,62.81398858541832,78.06603773584906,58.07492887091944
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,True,it_finance,49.74383164738609,69.55445544554455,43.60246738959611
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,False,it_finance,68.09876526680631,80.6930693069307,64.06804966210908
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,False,it_finance,66.0435240430607,80.19801980198021,61.52483105453403
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,False,it_finance,78.31109617688455,88.61386138613861,74.98467703913249
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,False,it_finance,67.81144058194874,81.1881188118812,63.56494578029231
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,True,it_finance,57.5591359852474,74.00990099009901,52.40432971868616
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,1024,medium,False,it_finance,67.93824967968777,80.19801980198021,64.00390931950338
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,False,it_finance,66.59679541585757,78.96039603960396,62.63849599245639
BAAI/bge-m3,bge-m3,568000000,1024,medium,False,it_finance,72.82411111332353,83.9108910891089,69.28335690711928
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,1024,medium,False,it_finance,64.48228799721551,81.43564356435643,59.14348577714914
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,False,it_finance,70.06650539091986,82.67326732673267,66.09470768505422
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,False,it_finance,74.68958483669296,85.14851485148515,71.32307873644507
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,False,it_finance,77.03036967932422,86.88118811881188,73.80107653622505
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,False,it_finance,64.97771862691131,79.95049504950495,60.14419299072764
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,False,it_finance,26.907311589893435,44.05940594059406,21.642994656608515
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,False,it_finance,44.033275144736585,58.66336633663366,39.433246896118185
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,False,it_finance,74.39586333945613,85.39603960396039,70.84197705484834
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,True,it_law,25.925441361181807,45.67307692307692,19.99093788156288
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,False,it_law,28.88734574819024,47.83653846153847,23.058131105006105
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,False,it_law,42.739816855293896,64.42307692307693,36.08754960317461
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,False,it_law,52.536711074361165,72.83653846153845,46.15403693528693
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,False,it_law,45.00145589545414,64.66346153846155,38.918269230769226
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,True,it_law,28.71833620566939,45.19230769230769,23.664529914529915
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,1024,medium,False,it_law,41.82290448828718,64.90384615384616,34.65506715506715
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,False,it_law,44.90611070254255,67.3076923076923,37.957684676434674
BAAI/bge-m3,bge-m3,568000000,1024,medium,False,it_law,47.66765478635951,67.3076923076923,41.46939865689866
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,1024,medium,False,it_law,37.12911688223209,56.25,31.242368742368743
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,False,it_law,54.48290215447757,74.27884615384616,48.23517628205129
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,False,it_law,50.66364725552207,71.39423076923077,44.19165903540904
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,False,it_law,58.951525260142176,77.88461538461539,52.93860653235654
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,False,it_law,48.81397323047447,70.91346153846155,41.94463522588523
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,False,it_law,5.22992032796236,9.85576923076923,3.8380456349206336
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,False,it_law,30.91818368714559,49.03846153846153,25.37507631257631
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,False,it_law,55.82915227025988,76.6826923076923,49.33760683760684
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,True,ja_finance,46.96290269600343,68.24644549763033,40.37557361017077
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,False,ja_finance,89.35042240550656,98.5781990521327,86.3110283607914
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,False,ja_finance,83.79398006302988,96.2085308056872,79.82171067479123
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,False,ja_finance,96.33069035762747,100.0,95.09873617693523
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,False,ja_finance,80.84297267951234,93.12796208530806,76.93720379146919
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,True,ja_finance,62.70270159436117,81.99052132701422,56.57921462423832
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,1024,medium,False,ja_finance,91.94013820866336,98.5781990521327,89.79049123598888
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,False,ja_finance,88.64460400954191,98.1042654028436,85.53411569999247
BAAI/bge-m3,bge-m3,568000000,1024,medium,False,ja_finance,93.03897894612147,99.76303317535546,90.79844655081622
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,1024,medium,False,ja_finance,75.32897770553897,88.62559241706161,71.10133152787182
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,False,ja_finance,90.60949156489542,98.1042654028436,88.15118859550138
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,False,ja_finance,94.7158692395147,99.76303317535546,93.03411569999248
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,False,ja_finance,95.89067178633888,100.0,94.5187316632814
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,False,ja_finance,92.5243590401757,99.28909952606637,90.26555329872866
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,False,ja_finance,75.00922175872454,90.99526066350712,69.92430226434965
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,False,ja_finance,88.19272308773533,97.6303317535545,85.13117806364251
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,False,ja_finance,96.93611418720208,99.76303317535546,95.98407056345448
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,True,ja_law,8.900836386682096,17.56756756756757,6.311043186043186
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,False,ja_law,17.975231778993457,28.37837837837838,14.791666666666666
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,False,ja_law,19.16729033014168,31.756756756756754,15.28269340769341
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,False,ja_law,24.609501768234534,39.18918918918919,20.223527098527097
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,False,ja_law,16.218595871576515,27.7027027027027,12.72227584727585
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,True,ja_law,9.40457571437162,15.765765765765764,7.491688116688117
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,1024,medium,False,ja_law,22.17991436287044,37.61261261261261,17.478013728013728
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,False,ja_law,25.01167739972676,38.51351351351352,20.82394894894895
BAAI/bge-m3,bge-m3,568000000,1024,medium,False,ja_law,23.41476127510944,35.585585585585584,19.663145288145287
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,1024,medium,False,ja_law,12.01926964406861,21.846846846846844,8.970667095667096
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,False,ja_law,21.92042230065511,36.71171171171172,17.46746746746747
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,False,ja_law,26.458699164920844,41.44144144144144,21.911107536107536
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,False,ja_law,28.62341948261507,43.01801801801802,24.18722293722293
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,False,ja_law,23.42472052926438,38.06306306306306,18.903099528099528
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,False,ja_law,7.411633452436171,14.63963963963964,5.209405834405835
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,False,ja_law,24.810508372168425,39.86486486486486,20.22969397969398
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,False,ja_law,27.36881834798456,41.891891891891895,22.8932503932504
openai/text-embedding-3-large,openai-3-large,-1,3072,api,False,hi_finance,57.34255702058289,71.07692307692308,53.10744810744809
openai/text-embedding-3-large,openai-3-large,-1,3072,api,False,hi_law,34.21975441399609,49.056603773584904,29.61740041928721
openai/text-embedding-3-large,openai-3-large,-1,3072,api,False,it_finance,67.42669856292778,80.19801980198021,63.35965739431085
openai/text-embedding-3-large,openai-3-large,-1,3072,api,False,it_law,47.40632455675768,68.02884615384616,40.96382783882783
openai/text-embedding-3-large,openai-3-large,-1,3072,api,False,ja_finance,85.41395172292681,97.1563981042654,81.61805085383284
openai/text-embedding-3-large,openai-3-large,-1,3072,api,False,ja_law,21.650524794143095,36.486486486486484,17.100761475761477
openai/text-embedding-3-small,openai-3-small,-1,1536,api,False,hi_finance,31.167038280710514,48.61538461538461,25.786446886446885
openai/text-embedding-3-small,openai-3-small,-1,1536,api,False,hi_law,18.686101833389937,31.132075471698112,14.866071428571429
openai/text-embedding-3-small,openai-3-small,-1,1536,api,False,it_finance,70.6339371064239,82.42574257425743,66.84435407826497
openai/text-embedding-3-small,openai-3-small,-1,1536,api,False,it_law,48.25253598638787,66.82692307692307,42.37627823565324
openai/text-embedding-3-small,openai-3-small,-1,1536,api,False,ja_finance,91.26314756511654,99.52606635071089,88.59954487324156
openai/text-embedding-3-small,openai-3-small,-1,1536,api,False,ja_law,21.984188122665937,36.26126126126126,17.602781352781353
cohere/embed-multilingual-v3.0,cohere-v3,-1,1024,api,False,hi_finance,73.94532426921346,76.92307692307693,72.94139194139194
cohere/embed-multilingual-v3.0,cohere-v3,-1,1024,api,False,hi_law,57.71607833115384,73.82075471698113,52.675389338125186
cohere/embed-multilingual-v3.0,cohere-v3,-1,1024,api,False,it_finance,69.67917941465454,82.42574257425743,65.62224972497249
cohere/embed-multilingual-v3.0,cohere-v3,-1,1024,api,False,it_law,43.71616570938836,65.625,36.942632020757024
cohere/embed-multilingual-v3.0,cohere-v3,-1,1024,api,False,ja_finance,91.73114594521579,99.0521327014218,89.34599037087189
cohere/embed-multilingual-v3.0,cohere-v3,-1,1024,api,False,ja_law,25.385015707243863,38.513513513513516,21.35805448305448
gemini/gemini-embedding-2,gemini-2,-1,3072,api,False,hi_finance,68.45636672573787,80.61538461538461,64.51172161172161
gemini/gemini-embedding-2,gemini-2,-1,3072,api,False,hi_law,25.33218194312463,32.54716981132076,23.078298143156637
gemini/gemini-embedding-2,gemini-2,-1,3072,api,False,it_finance,60.75150962017183,81.1881188118812,54.21076929121483
gemini/gemini-embedding-2,gemini-2,-1,3072,api,False,it_law,19.841297829769903,38.70192307692308,14.230960012210014
gemini/gemini-embedding-2,gemini-2,-1,3072,api,False,ja_finance,28.558918502042285,57.345971563981045,20.092812006319114
gemini/gemini-embedding-2,gemini-2,-1,3072,api,False,ja_law,17.92806174425643,31.08108108108108,13.958869583869586
