model_id,short_name,params_numeric,tier,dataset,query_type,ndcg_at_10,recall_at_10,mrr
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_law,factual,39.10405869882944,53.216374269005854,34.778613199665834
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_law,factual,68.43185442846999,80.7017543859649,64.59830130882762
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_law,multi_hop,5.290905019573298,9.146341463414634,4.155294231513744
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_law,multi_hop,38.15979039987828,54.268292682926834,33.15016453735966
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,hi_law,multi_hop,51.84535328866976,64.63414634146342,47.8631920247774
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_law,multi_hop,51.71793318156346,64.63414634146342,47.63090398761131
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_law,multi_hop,43.75819595656547,59.7560975609756,38.74927409988385
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_law,multi_hop,13.1048068965095,25.60975609756097,9.415166473093302
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,hi_law,multi_hop,41.22200518766236,59.14634146341463,35.71936701509872
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_law,multi_hop,48.62920547820177,63.41463414634146,43.99849980642664
BAAI/bge-m3,bge-m3,568000000,medium,hi_law,multi_hop,56.93819387006592,73.17073170731707,51.91831204026326
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,hi_law,multi_hop,44.0854515155169,62.19512195121951,38.6164343786295
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_law,multi_hop,52.29058675758576,69.51219512195121,46.95025164537359
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_law,multi_hop,54.8630685710967,72.5609756097561,49.34572202864886
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_law,multi_hop,57.426623062481085,78.65853658536585,50.75566202090593
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_law,multi_hop,40.71762819551444,54.268292682926834,36.50067750677506
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_law,multi_hop,12.584181111882767,19.51219512195122,10.41739256678281
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_law,multi_hop,43.9447014340811,58.53658536585365,39.477109949670925
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_law,multi_hop,59.76971741381544,75.60975609756098,54.83497870692992
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_law,summarization,1.6290204559360038,4.49438202247191,0.8003388621366148
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_law,summarization,36.496959800371656,50.56179775280899,32.07374710183699
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,hi_law,summarization,44.17070429145037,62.92134831460674,38.38728375245229
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_law,summarization,46.88439829306813,66.29213483146067,40.811039771713936
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_law,summarization,40.8251020380247,57.30337078651685,35.76912787586945
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_law,summarization,10.683888606717517,17.97752808988764,8.546905653647228
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,hi_law,summarization,43.82731725326047,64.04494382022472,37.50579632602104
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_law,summarization,50.926839854988216,67.41573033707866,45.77314071696095
BAAI/bge-m3,bge-m3,568000000,medium,hi_law,summarization,50.34496268711006,68.53932584269663,44.523809523809526
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,hi_law,summarization,33.47221887099148,50.56179775280899,28.348047084002136
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_law,summarization,45.78440761318724,56.17977528089888,42.55751738897806
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_law,summarization,51.94210418057009,69.66292134831461,46.42277510255038
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_law,summarization,59.2098649557244,76.40449438202246,53.72124130551097
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_law,summarization,43.38630040144238,57.30337078651685,38.99143927233815
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_law,summarization,12.1658045367594,20.2247191011236,9.736044230426252
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_law,summarization,43.5879789700806,66.29213483146067,36.57080435170322
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_law,summarization,57.62977974250856,77.52808988764045,51.51150347779561
intfloat/e5-small-v2,e5-small-v2,33000000,small,it_finance,factual,54.14389961414414,72.0,48.5734693877551
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,it_finance,factual,66.39755854579883,77.71428571428571,62.74807256235827
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,it_finance,factual,67.69533454844057,78.85714285714286,64.08798185941043
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,it_finance,factual,72.0986153107828,82.85714285714286,68.6108843537415
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,it_finance,factual,67.38157975687636,79.42857142857143,63.56598639455782
intfloat/e5-large-v2,e5-large-v2,335000000,medium,it_finance,factual,58.07094914725157,72.57142857142857,53.49115646258503
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,it_finance,factual,65.75334948534815,77.14285714285715,62.0530612244898
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,it_finance,factual,64.11948010594652,75.42857142857143,60.49274376417233
BAAI/bge-m3,bge-m3,568000000,medium,it_finance,factual,65.72739781535624,77.71428571428571,61.90839002267574
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,it_finance,factual,61.7567752560407,78.85714285714286,56.3764172335601
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,it_finance,factual,66.49241278587765,78.85714285714286,62.48888888888888
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,it_finance,factual,70.58462736814218,80.57142857142857,67.39591836734694
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,it_finance,factual,72.04203934135435,81.14285714285714,69.11972789115646
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,it_finance,factual,63.85632758623636,76.57142857142857,59.80226757369614
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,it_finance,factual,26.991929617300887,41.14285714285714,22.6718820861678
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,it_finance,factual,46.36488039425318,61.142857142857146,41.72154195011339
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,it_finance,factual,67.27312506767011,79.42857142857143,63.362358276644
intfloat/e5-small-v2,e5-small-v2,33000000,small,it_finance,multi_hop,39.52974579075362,59.44055944055944,33.36996336996337
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,it_finance,multi_hop,59.829607158104416,75.52447552447552,54.876512376512366
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,it_finance,multi_hop,56.84883015130842,73.42657342657343,51.62171162171163
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,it_finance,multi_hop,82.95072935837256,92.3076923076923,80.001665001665
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,it_finance,multi_hop,62.25781967316767,76.92307692307693,57.62404262404262
intfloat/e5-large-v2,e5-large-v2,335000000,medium,it_finance,multi_hop,47.60566883318795,63.63636363636363,42.64402264402264
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,it_finance,multi_hop,63.13231620315697,76.92307692307693,58.80508380508381
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,it_finance,multi_hop,61.66147449017314,74.82517482517483,57.5019425019425
BAAI/bge-m3,bge-m3,568000000,medium,it_finance,multi_hop,73.84530705928705,83.91608391608392,70.65157065157065
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,it_finance,multi_hop,63.27043650707682,81.11888111888112,57.74225774225775
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,it_finance,multi_hop,70.78360868709362,82.51748251748252,67.18503718503717
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,it_finance,multi_hop,73.33311599982729,84.61538461538461,69.73165723165724
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,it_finance,multi_hop,79.35564946978421,89.5104895104895,76.04673104673105
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,it_finance,multi_hop,60.061747105606855,76.22377622377621,54.85597735597736
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,it_finance,multi_hop,24.39763912776588,42.65734265734265,18.788711288711287
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,it_finance,multi_hop,26.31407726611335,38.46153846153847,22.54051504051504
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,it_finance,multi_hop,77.7042072809532,87.41258741258741,74.63258963258964
intfloat/e5-small-v2,e5-small-v2,33000000,small,it_finance,summarization,57.77409191849981,81.3953488372093,50.50156884459209
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,it_finance,summarization,85.31040231007,95.34883720930232,82.0376522702104
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,it_finance,summarization,77.97113320677116,94.18604651162792,72.77593207825767
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,it_finance,summarization,83.23803346310568,94.18604651162792,79.61240310077517
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,it_finance,summarization,77.92066656268547,91.86046511627907,73.44130675526024
intfloat/e5-large-v2,e5-large-v2,335000000,medium,it_finance,summarization,73.06818830377962,94.18604651162792,66.42211148025102
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,it_finance,summarization,80.3755289954243,91.86046511627907,76.61821705426358
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,it_finance,summarization,79.84424973687277,93.02325581395348,75.54586563307494
BAAI/bge-m3,bge-m3,568000000,medium,it_finance,summarization,85.56706235601531,96.51162790697676,82.01550387596899
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,it_finance,summarization,72.04344489018555,87.20930232558139,67.10409745293467
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,it_finance,summarization,76.14697555986805,90.69767441860463,71.61913990402363
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,it_finance,summarization,85.29821972818333,95.34883720930232,81.96059431524549
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,it_finance,summarization,83.31458827361435,94.18604651162792,79.59302325581396
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,it_finance,summarization,75.43385071603515,93.02325581395348,69.63316722037652
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,it_finance,summarization,30.90818376766014,52.32558139534884,24.295404208194903
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,it_finance,summarization,68.75204698168685,87.20930232558139,62.86590992986342
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,it_finance,summarization,83.38872396653139,94.18604651162792,79.75913621262458
intfloat/e5-small-v2,e5-small-v2,33000000,small,it_law,factual,25.702786278801565,45.93023255813954,19.66685123661868
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,it_law,factual,25.64664766854272,41.27906976744186,20.76827242524917
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,it_law,factual,37.58024713286943,59.30232558139535,30.824796973052788
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,it_law,factual,44.51718773484985,63.372093023255815,38.64871723883353
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,it_law,factual,40.66712530093259,59.88372093023256,34.76836471022517
intfloat/e5-large-v2,e5-large-v2,335000000,medium,it_law,factual,28.243914841802702,43.604651162790695,23.477297895902545
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,it_law,factual,31.248025631037287,51.16279069767442,25.102205610926543
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,it_law,factual,37.91971160559699,55.23255813953488,32.457087486157256
BAAI/bge-m3,bge-m3,568000000,medium,it_law,factual,37.569642160063886,55.81395348837209,31.828626799557032
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,it_law,factual,32.45796165249581,48.25581395348838,27.610972683647105
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,it_law,factual,44.73283840602681,65.11627906976744,38.33448689553341
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,it_law,factual,38.9653017566476,58.72093023255815,32.77177925433739
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,it_law,factual,47.00988556918321,65.69767441860465,41.05850867478775
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,it_law,factual,36.36815303403346,54.06976744186046,30.834717607973428
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,it_law,factual,4.304936056575558,9.30232558139535,2.794619785898856
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,it_law,factual,18.30755982449525,33.72093023255814,13.63395164267257
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,it_law,factual,44.98739939503,64.53488372093024,39.0047065337763
intfloat/e5-small-v2,e5-small-v2,33000000,small,it_law,multi_hop,25.82727192902508,44.91017964071856,20.06653359946773
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,it_law,multi_hop,30.620825565478548,51.49700598802395,24.28809048569527
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,it_law,multi_hop,45.65125226886102,65.26946107784431,39.70249976238001
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,it_law,multi_hop,60.48917868393179,80.83832335329342,54.05546050755632
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,it_law,multi_hop,45.29901743124003,65.26946107784431,39.09110350727117
intfloat/e5-large-v2,e5-large-v2,335000000,medium,it_law,multi_hop,30.33948727844201,47.30538922155689,25.15469061876248
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,it_law,multi_hop,46.86764208266369,74.25149700598801,38.38109495295125
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,it_law,multi_hop,44.70468135078448,71.8562874251497,36.37510692899914
BAAI/bge-m3,bge-m3,568000000,medium,it_law,multi_hop,51.1325545352866,73.65269461077844,44.08231156734151
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,it_law,multi_hop,42.84326175856844,66.46706586826348,35.57005037543959
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,it_law,multi_hop,61.9170803102796,83.23353293413174,55.14114627887084
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,it_law,multi_hop,60.17621560135626,80.83832335329342,53.70948579032412
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,it_law,multi_hop,70.60979775560382,89.22155688622755,64.65735196274119
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,it_law,multi_hop,56.754587024093816,84.4311377245509,48.21119665431043
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,it_law,multi_hop,5.99065200572891,10.778443113772456,4.531650983746792
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,it_law,multi_hop,43.07836798611015,63.47305389221557,36.77003136583974
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,it_law,multi_hop,66.90930953414383,88.62275449101796,60.09457275924343
intfloat/e5-small-v2,e5-small-v2,33000000,small,it_law,summarization,26.6357136902672,46.75324675324675,20.55091733663162
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,it_law,summarization,32.36668263406332,54.54545454545454,25.50556586270872
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,it_law,summarization,47.95067761102503,74.02597402597402,40.00309214594929
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,it_law,summarization,53.20289190030466,76.62337662337663,45.78231292517006
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,it_law,summarization,54.0379764900186,74.02597402597402,47.8133374561946
intfloat/e5-large-v2,e5-large-v2,335000000,medium,it_law,summarization,26.262079652838764,44.15584415584416,20.85085549371264
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,it_law,summarization,54.503527672522246,75.32467532467533,47.91280148423006
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,it_law,summarization,60.9489593573248,84.4155844155844,53.67707689136261
BAAI/bge-m3,bge-m3,568000000,medium,it_law,summarization,62.70947184677542,79.22077922077922,57.33766233766233
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,it_law,summarization,35.17037019608231,51.94805194805194,29.968047825190684
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,it_law,summarization,60.13878803388788,75.32467532467533,55.37311894454753
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,it_law,summarization,56.16386169775711,79.22077922077922,49.05844155844156
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,it_law,summarization,60.34153201472462,80.51948051948052,54.059987631416206
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,it_law,summarization,59.393175441557865,79.22077922077922,53.17048031333746
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,it_law,summarization,5.646220386293741,9.090909090909092,4.6645021645021645
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,it_law,summarization,32.71398273193487,51.94805194805194,26.888270459699022
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,it_law,summarization,56.01610332832375,77.92207792207793,49.08884766027624
intfloat/e5-small-v2,e5-small-v2,33000000,small,ja_finance,factual,47.8702545431433,67.42857142857143,41.751020408163264
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,ja_finance,factual,88.22877148642488,98.28571428571428,84.92743764172336
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,ja_finance,factual,87.2493334211685,97.71428571428572,83.8845804988662
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,ja_finance,factual,96.02828715262504,100.0,94.70952380952382
