model_id,short_name,params_numeric,dim,tier,english_only,language,mteb_agg_score,lang_specific_avg,gap,gap_pct,n_tasks,source,task_BelebeleRetrieval,task_WikipediaRetrievalMultilingual,task_MIRACLRetrievalHardNegatives,task_MLQARetrieval
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,False,japanese,84.2,82.6524,-1.5477,-1.8381,2,own_run,94.6155,,70.6892,
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,1024,medium,False,japanese,83.8,79.0321,-4.7679,-5.6896,2,own_run,91.958,,66.1062,
BAAI/bge-m3,bge-m3,568000000,1024,medium,False,japanese,84.0,83.3604,-0.6396,-0.7614,2,own_run,93.6863,,73.0345,
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake-l-v2,568000000,1024,medium,False,japanese,82.3,27.2935,-55.0065,-66.8366,2,own_run,52.377,,2.21,
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,True,japanese,56.4,27.3446,-29.0554,-51.5168,2,own_run,49.6017,,5.0874,
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,False,japanese,78.0,63.9144,-14.0855,-18.0584,2,own_run,91.0466,,36.7823,
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,False,japanese,77.9,74.3808,-3.5192,-4.5176,2,own_run,90.1236,,58.638,
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,False,japanese,86.2,83.3155,-2.8845,-3.3463,2,merged,94.134,,72.497,
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,False,japanese,80.3,74.28,-6.02,-7.4969,2,leaderboard,90.513,,58.047,
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,False,japanese,79.6,59.898,-19.702,-24.7513,2,merged,61.993,,57.803,
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,False,japanese,87.0,87.0162,0.0162,0.0186,2,leaderboard,96.0173,,78.015,
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,False,japanese,90.4,86.1535,-4.2465,-4.6975,2,merged,97.938,,74.369,
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,False,hindi,77.0,72.8007,-4.1993,-5.4536,4,own_run,86.0974,84.3963,55.9343,64.7749
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,True,hindi,41.6,6.1592,-35.4408,-85.1943,4,own_run,9.5818,10.9149,0.1192,4.0208
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,False,hindi,65.0,61.8113,-3.1887,-4.9057,4,own_run,73.1373,78.6974,44.2789,51.1317
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,False,hindi,72.0,74.3106,2.3106,3.2092,4,own_run,89.6554,87.571,53.6049,66.4111
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,False,hindi,79.7,74.7389,-4.9611,-6.2247,4,own_run,88.8793,84.1981,59.2551,66.6231
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,False,hindi,84.2,77.7736,-6.4264,-7.6323,4,own_run,90.7358,87.1017,62.7297,70.5271
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,1024,medium,False,hindi,83.8,75.9088,-7.8912,-9.4167,4,own_run,88.9679,87.1584,58.3364,69.1725
BAAI/bge-m3,bge-m3,568000000,1024,medium,False,hindi,84.0,76.0772,-7.9228,-9.4319,4,own_run,89.3028,87.4159,60.1103,67.4799
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake-l-v2,568000000,1024,medium,False,hindi,82.3,40.1316,-42.1684,-51.2374,4,own_run,57.8418,56.6553,14.6376,31.3919
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,True,hindi,56.4,12.0796,-44.3204,-78.5823,4,own_run,17.3154,21.206,2.3839,7.413
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,False,hindi,78.0,70.8137,-7.1863,-9.2133,4,own_run,86.1844,86.8958,45.7424,64.432
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,False,hindi,77.9,67.0299,-10.8701,-13.9539,4,own_run,82.4891,83.3729,45.2423,57.0153
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,False,hindi,86.2,81.6557,-4.5443,-5.2718,4,merged,91.291,88.479,64.219,82.6337
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,False,hindi,80.3,69.2781,-11.0219,-13.7259,4,leaderboard,79.8491,84.433,48.545,64.2853
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,False,hindi,79.6,68.064,-11.536,-14.4924,4,leaderboard,78.3197,84.451,47.743,61.7423
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,False,hindi,87.0,83.8695,-3.1305,-3.5983,4,leaderboard,92.73,90.631,67.485,84.6318
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,False,hindi,90.4,83.6565,-6.7435,-7.4596,4,merged,96.6295,88.93,64.78,84.2865
